Michel;Artemons;H;Direction;Directeur Général;michel.artemons@cogip.numericube.fr;1.jpg
Henri;Vernon;H;Direction;Directeur Général Adjoint;henri.vernon@cogip.numericube.fr;2.jpg;martemons
Gisèle;Laballe;F;Direction;Assistante de Direction;gisele.laballe@cogip.numericube.fr;3.jpg;hvernon,martemons
Olivier;Lebeau;H;Marketing;Directeur Marketing;olivier.lebeau@cogip.numericube.fr;4.jpg;glaballe,martemons,hvernon
Pierre;Julienne;H;Marketing;Chef de Produit;pierre.julienne@cogip.numericube.fr;5.jpg
Julien;Carat;H;Marketing;Stagiaire;julien.carat@cogip.numericube.fr;6.jpg;glaballe
Isabelle;Bellamie;F;Vente;Directeur Commercial;isabelle.bellamie@cogip.numericube.fr;7.jpg;martemons,hvernon,glaballe,olebeau
Emilie;Vidal;F;Vente;Responsable Secteur Sud;emilie.vidal@cogip.numericube.fr;8.jpg;ibellamie
Alphonse;Bichart;H;Vente;Responsable Secteur Nord;alphonse.bichart@cogip.numericube.fr;9.jpg;ibellamie,evidal
Jérémy;Nénerta;H;Vente;Commercial;jeremy.nenerta@cogip.numericube.fr;10.jpg;ibellamie,evidal,abichart
Nicolas;Baffoi;H;Vente;Commercial;nicolas.baffoi@cogip.numericube.fr;11.jpg;ibellamie,evidal,abichart,jnenerta
Sabine;Azla;F;Vente;Commercial;sabine.azla@cogip.numericube.fr;12.jpg;ibellamie,evidal,abichart,jnenerta,nbaffoi
Elodie;Debouze;F;Vente;Commercial;elodie.debouze@cogip.numericube.fr;13.jpg;ibellamie,evidal,abichart,jnenerta,nbaffoi,sazla
Gérard;Larmet;H;Vente;Commercial;gerard.larmet@cogip.numericube.fr;14.jpg;ibellamie,evidal,abichart,jnenerta,nbaffoi,sazla,edebouze
Paul;Ayavé;H;Vente;Stagiaire;paul.ayave@cogip.numericube.fr;15.jpg;ibellamie,evidal,abichart,jnenerta,nbaffoi,sazla,edebouze,glarmet
Jacques;Michart;H;R&D;Directeur R&D;jacques.michart@cogip.numericube.fr;16.jpg;martemons,hvernon,glaballe
Romain;Garlet;H;R&D;Chef de projet;romain.garlet@cogip.numericube.fr;17.jpg;jmichart
Cyril;Otin;H;R&D;Ingénieur;cyril.otin@cogip.numericube.fr;18.jpg
Lise;Toleti;F;R&D;Ingénieur;lise.toleti@cogip.numericube.fr;19.jpg
Sylvain;Gigaud;H;R&D;Ingénieur;sylvain.gigaud@cogip.numericube.fr;20.jpg
Emmanuelle;Passard;F;Production;Directeur Production;emmanuelle.passard@cogip.numericube.fr;21.jpg
Stéphanie;Guidon;F;Production;Responsable Usinage;stephanie.guidon@cogip.numericube.fr;22.jpg
Stéphane;Ribocha;H;Production;Responsable Assemblage;stephane.ribocha@cogip.numericube.fr;23.jpg
Céline;Blot;F;Production;Assistante;celine.blot@cogip.numericube.fr;24.jpg
David;Petrousse;H;Production;Chef d'équipe;david.petrousse@cogip.numericube.fr;25.jpg
Christophe;Valame;H;Production;Ouvrier;christophe.valame@cogip.numericube.fr;26.jpg
Frédéric;Tribord;H;Production;Ouvrier;frederic.tribord@cogip.numericube.fr;27.jpg
Jérôme;Alberti;H;Production;Ouvrier;jerome.alberti@cogip.numericube.fr;28.jpg
Laurent;Blaffard;H;Production;Ouvrier;laurent.blaffard@cogip.numericube.fr;29.jpg
Valérie;Lacroix;F;Production;Ouvrier;valerie.lacroix@cogip.numericube.fr;30.jpg
Sophie;Lopez;F;Production;Stagiaire;sophie.lopez@cogip.numericube.fr;31.jpg
Eric;Da Silva;H;Production;Contrôle Qualité;eric.dasilva@cogip.numericube.fr;32.jpg
Chantal;Zaraski;F;SAV;Directrice Relation Client;chantal.zaraski@cogip.numericube.fr;33.jpg
Rodolphe;Boulain;H;SAV;Agent de maitrise;rodolphe.boulain@cogip.numericube.fr;34.jpg
Thierry;Robinet;H;SAV;Stagiaire;thierry.robinet@cogip.numericube.fr;35.jpg
Farida;Fazza;F;Services Généraux;Reponsable Services Généraux;farida.fazza@cogip.numericube.fr;36.jpg
Jun;Lee;H;Services Généraux;Hotesse Accueil;jun.lee@cogip.numericube.fr;37.jpg;-martemons,-hvernon,-evidal,-ibellamie,payave
Andy;McDonald;H;Finance;Directeur Administratif et Financier;andy.mcdonald@cogip.numericube.fr;38.jpg
Bao;Chong;H;Finance;Comptable;bao.chong@cogip.numericube.fr;39.jpg
Djibril;Fouatta;H;Finance;Comptable;djibril.fouatta@cogip.numericube.fr;40.jpg
