1;Michel;Artemons;H;Direction;Directeur Général;michel.artemons@cogip.fr;1.jpg
2;Henri;Vernon;H;Direction;Directeur Général Adjoint;henri.vernon@cogip.fr;2.jpg
3;Gisèle;Laballe;F;Direction;Assistante de Direction;gisèle.laballe@cogip.fr;3.jpg
4;Olivier;Lebeau;H;Marketing;Directeur Marketing;olivier.lebeau@cogip.fr;4.jpg
5;Pierre;Julienne;H;Marketing;Chef de Produit;pierre.julienne@cogip.fr;5.jpg
6;Julien;Carat;H;Marketing;Stagiaire;julien.carat@cogip.fr;6.jpg
7;Isabelle;Bellamie;F;Vente;Directeur Commercial;isabelle.bellamie@cogip.fr;7.jpg
8;Emilie;Vidal;F;Vente;Responsable Secteur Sud;emilie.vidal@cogip.fr;8.jpg
9;Alphonse;Bichart;H;Vente;Responsable Secteur Nord;alphonse.bichart@cogip.fr;9.jpg
10;Jérémy;Nénerta;H;Vente;Commercial;jeremy.nenerta@cogip.fr;10.jpg
11;Nicolas;Baffoi;H;Vente;Commercial;nicolas.baffoi@cogip.fr;11.jpg
12;Sabine;Azla;F;Vente;Commercial;sabine.azla@cogip.fr;12.jpg
13;Elodie;Debouze;F;Vente;Commercial;elodie.debouze@cogip.fr;13.jpg
14;Gérard;Larmet;H;Vente;Commercial;gérard.larmet@cogip.fr;14.jpg
15;Paul;Ayavé;H;Vente;Stagiaire;paul.ayavé@cogip.fr;15.jpg
16;Jacques;Michart;H;R&D;Directeur R&D;jacques.michart@cogip.fr;16.jpg
17;Romain;Garlet;H;R&D;Chef de projet;romain.garlet@cogip.fr;17.jpg
18;Cyril;Otin;H;R&D;Ingénieur;cyril.otin@cogip.fr;18.jpg
19;Lise;Toleti;F;R&D;Ingénieur;lise.toleti@cogip.fr;19.jpg
20;Sylvain;Gigaud;H;R&D;Ingénieur;sylvain.gigaud@cogip.fr;20.jpg
21;Emmanuelle;Passard;F;Production;Directeur Production;emmanuelle.passard@cogip.fr;21.jpg
22;Stéphanie;Guidon;F;Production;Responsable Usinage;stéphanie.guidon@cogip.fr;22.jpg
23;Stéphane;Ribocha;H;Production;Responsable Assemblage;stéphane.ribocha@cogip.fr;23.jpg
24;Céline;Blot;F;Production;Assistante;céline.blot@cogip.fr;24.jpg
25;David;Petrousse;H;Production;Chef d'équipe;david.petrousse@cogip.fr;25.jpg
26;Christophe;Valame;H;Production;Ouvrier;christophe.valame@cogip.fr;26.jpg
27;Frédéric;Tribord;H;Production;Ouvrier;frédéric.tribord@cogip.fr;27.jpg
28;Jérôme;Alberti;H;Production;Ouvrier;jérôme.alberti@cogip.fr;28.jpg
29;Laurent;Blaffard;H;Production;Ouvrier;laurent.blaffard@cogip.fr;29.jpg
30;Valérie;Lacroix;F;Production;Ouvrier;valérie.lacroix@cogip.fr;30.jpg
31;Sophie;Lopez;F;Production;Stagiaire;sophie.lopez@cogip.fr;31.jpg
32;Eric;Da Silva;H;Production;Contrôle Qualité;eric.da silva@cogip.fr;32.jpg
33;Chantal;Zaraski;F;SAV;Directrice Relation Client;chantal.zaraski@cogip.fr;33.jpg
34;Rodolphe;Boulain;H;SAV;Agent de maitrise;rodolphe.boulain@cogip.fr;34.jpg
35;Thierry;Robinet;H;SAV;Stagiaire;thierry.robinet@cogip.fr;35.jpg
36;Farida;Fazza;F;Services Généraux;Reponsable Services Généraux;farida.fazza@cogip.fr;36.jpg
37;Jun;Lee;H;Services Généraux;Hotesse Accueil;jun.lee@cogip.fr;37.jpg
38;Andy;McDonald;H;Finance;Directeur Administratif et Financier;andy.mcdonald@cogip.fr;38.jpg
39;Bao;Chong;H;Finance;Comptable;bao.chong@cogip.fr;39.jpg
40;Djibril;Fouatta;H;Finance;Comptable;djibril.fouatta@cogip.fr;40.jpg
